loyalty_number,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,clv,enrollment_type,enrollment_year,enrollment_month,cancellation_year,cancellation_month,frequency_count,total_flights_booked,total_flights_with_companions,total_distance,total_points_accumulated,total_points_redeemed,total_dollar_cost_redeemed,first_year,last_year,active_years,month_apr,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,active_member
286114,Canada,Ontario,Toronto,M2M 7K8,Female,College,71960.0,Single,Star,3872.22,Standard,2016,11,,,24,98,40,38213,3825.84,2123,171,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True
205785,Canada,Ontario,Toronto,M2M 6J7,Male,Master,128118.0,Married,Star,3873.65,Standard,2016,8,,,24,117,40,36218,3644.68,1233,100,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,True
735304,Canada,Alberta,Edmonton,T3G 6Y6,Female,Master,128118.0,Married,Star,3873.65,Standard,2016,12,,,24,102,22,41840,4237.52,1053,85,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True
438936,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,94092.0,Married,Star,3878.77,Standard,2013,10,,,24,178,37,45300,4567.88,499,40,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True
172755,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,71960.0,Single,Aurora,5303.76,2018 Promotion,2018,3,,,24,44,16,16974,1749.0,765,62,2017,2018,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,True
354730,Canada,New Brunswick,Fredericton,E3B 2H2,Female,College,71960.0,Married,Star,3885.46,Standard,2014,10,2018.0,1.0,24,71,27,23302,2325.0,0,0,2017,2018,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
413741,Canada,Ontario,Toronto,M1R 4K3,Female,College,71960.0,Married,Star,3885.46,Standard,2015,7,,,24,122,43,31653,3210.16,1965,159,2017,2018,2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,True
552965,Canada,Quebec,Montreal,H4G 3T4,Male,College,71960.0,Married,Star,3885.46,Standard,2018,11,,,24,11,6,3315,331.0,0,0,2017,2018,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
642313,Canada,Alberta,Edmonton,T9G 1W3,Male,College,71960.0,Married,Star,3885.46,Standard,2016,3,,,24,113,41,38203,3850.8,1506,121,2017,2018,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True
263080,Canada,Alberta,Edmonton,T9G 1W3,Male,College,71960.0,Single,Star,3886.5,Standard,2014,5,,,24,98,26,25890,2615.28,346,28,2017,2018,2,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True
109767,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,89062.0,Single,Star,3886.65,Standard,2016,5,,,24,152,41,44144,4441.8,1752,142,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
217754,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,102400.0,Single,Star,3887.32,Standard,2015,6,,,24,108,14,33906,3386.0,0,0,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,True
157005,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,98629.0,Married,Star,3890.87,Standard,2016,10,,,24,165,52,50728,5080.92,911,74,2017,2018,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
557752,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,98629.0,Married,Star,3890.87,Standard,2017,10,,,24,79,27,28031,2862.36,1340,108,2017,2018,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,True
608758,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,63795.0,Married,Star,3890.96,Standard,2013,7,,,24,139,36,37356,3779.68,0,0,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
599341,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,54890.0,Married,Star,3891.54,Standard,2015,11,,,24,190,44,65271,6581.68,1863,151,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
333502,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,71960.0,Married,Star,3891.58,Standard,2014,3,,,24,142,37,38405,3835.0,409,33,2017,2018,2,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
201574,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,51375.0,Married,Star,3893.31,Standard,2015,4,2015.0,12.0,24,0,0,0,0.0,0,0,2017,2018,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
403361,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,70222.0,Single,Star,3895.03,Standard,2017,10,,,24,68,18,23117,2354.88,0,0,2017,2018,2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,True
543918,Canada,Quebec,Montreal,H2T 2J6,Male,High School or Below,40736.0,Married,Star,3896.57,Standard,2012,11,,,24,174,70,47173,4759.36,3513,283,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,True
806030,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,75861.0,Married,Star,3903.47,Standard,2018,5,,,24,50,6,17165,1713.0,567,46,2017,2018,2,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,True
119200,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,69835.0,Divorced,Star,3903.8,Standard,2017,5,,,24,112,28,29857,3017.4,1004,82,2017,2018,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True
938981,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,71960.0,Single,Aurora,5337.35,2018 Promotion,2018,4,,,24,38,10,10200,1018.0,0,0,2017,2018,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,True
238119,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,75980.0,Married,Star,3906.67,Standard,2013,5,,,24,166,38,40884,4153.92,611,49,2017,2018,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,True
730388,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,71960.0,Single,Star,3907.03,Standard,2012,5,,,24,164,45,51744,5211.04,0,0,2017,2018,2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
834891,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,54460.0,Married,Star,3911.12,Standard,2017,3,2017.0,4.0,24,0,0,0,0.0,0,0,2017,2018,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
127400,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,71960.0,Single,Star,3914.72,Standard,2014,6,,,24,98,23,37212,3755.6,528,43,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,True
324557,Canada,Quebec,Montreal,H2Y 2W2,Female,College,71960.0,Single,Star,3914.72,Standard,2013,2,,,24,112,25,36558,3690.72,645,52,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
742002,Canada,Ontario,Toronto,P2T 6G3,Female,College,71960.0,Single,Star,3915.8,Standard,2016,5,,,24,98,23,29817,3027.56,537,43,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,True
536567,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,5,,,24,188,40,45299,4572.16,1245,101,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
704835,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,9,,,24,132,35,38385,3862.88,1447,117,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
733338,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,6,2017.0,2.0,24,10,4,1918,191.0,0,0,2017,2018,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
758635,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,6,,,24,31,7,6067,605.0,0,0,2017,2018,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,True
823048,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,5,,,24,55,8,18124,1811.0,0,0,2017,2018,2,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,True
612905,Canada,Ontario,Toronto,P2T 6G3,Female,College,71960.0,Married,Star,3920.51,Standard,2015,2,,,24,131,46,34276,3444.08,569,46,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,True
679908,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,77601.0,Married,Star,3921.02,Standard,2015,8,,,24,125,31,44178,4471.96,979,79,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
704150,Canada,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,77601.0,Married,Star,3921.02,Standard,2014,10,,,24,124,35,36426,3667.64,966,78,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
869743,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,73236.0,Single,Star,3924.42,Standard,2016,11,2017.0,7.0,24,52,10,15057,1504.0,0,0,2017,2018,2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False
596179,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,50879.0,Single,Star,3933.81,Standard,2014,3,,,24,146,34,33002,3307.64,0,0,2017,2018,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
370450,Canada,Ontario,Thunder Bay,K8T 5M5,Female,High School or Below,62160.0,Married,Star,3934.1,Standard,2012,11,,,24,156,54,51216,5155.96,1382,112,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,True
501030,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,93541.0,Married,Star,3934.71,Standard,2017,3,,,24,87,21,25935,2634.2,0,0,2017,2018,2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,True
878633,Canada,Ontario,Trenton,K8V 4B2,Female,Doctor,163974.0,Married,Star,3936.79,Standard,2013,12,,,24,150,37,47817,4807.6,0,0,2017,2018,2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True
285938,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2014,9,,,24,130,47,40735,4101.6,607,49,2017,2018,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
588237,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2013,11,,,24,112,26,34246,3457.72,2056,166,2017,2018,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
645280,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2012,12,,,24,145,29,36224,3629.8,813,66,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
864324,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2018,6,,,24,153,48,43043,4335.24,1686,137,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
124678,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2013,6,,,24,173,36,44914,4526.16,304,25,2017,2018,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True
186015,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,9,,,24,138,38,35679,3581.96,1543,125,2017,2018,2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
461108,Canada,Quebec,Montreal,H2T 9K8,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2018,10,,,24,6,0,2972,297.0,0,0,2017,2018,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
589580,Canada,British Columbia,Whistler,V6T 1Y8,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,8,,,24,171,36,42690,4307.24,1159,94,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True
623688,Canada,Ontario,London,M5B 3E4,Female,Doctor,152955.0,Married,Star,3954.34,Standard,2016,5,,,24,174,54,41715,4203.52,1839,149,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
386082,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,30486.0,Divorced,Aurora,5391.97,2018 Promotion,2018,3,2018.0,11.0,24,41,16,14133,1513.5,0,0,2017,2018,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False
256147,Canada,Ontario,Toronto,M1R 4K3,Female,College,71960.0,Married,Star,3958.0,Standard,2012,9,,,24,155,51,48213,4848.0,339,28,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,True
329382,Canada,Quebec,Montreal,H2T 9K8,Male,College,71960.0,Single,Star,3961.59,Standard,2012,8,,,24,0,0,0,0.0,0,0,2017,2018,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
140392,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,96814.0,Married,Star,3963.39,Standard,2013,7,,,24,119,38,34607,3508.24,1185,96,2017,2018,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
112522,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,49846.0,Married,Aurora,5636.74,2018 Promotion,2018,2,,,24,136,40,37651,4006.0,560,45,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
230908,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,217538.0,Divorced,Star,3964.15,Standard,2012,5,,,24,168,23,52059,5256.96,822,66,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,True
972581,Canada,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,48744.0,Married,Star,3964.53,Standard,2016,2,,,24,100,25,28967,2892.0,1145,93,2017,2018,2,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
357549,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,76410.0,Single,Star,3964.73,Standard,2018,9,,,24,0,0,0,0.0,0,0,2017,2018,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
330694,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,105053.0,Married,Aurora,6172.91,2018 Promotion,2018,2,,,24,53,15,17649,1858.5,500,40,2017,2018,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
910875,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,84914.0,Married,Star,3966.13,Standard,2012,11,,,24,111,22,29906,3010.48,483,39,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,True
501704,Canada,Quebec,Hull,J8Y 3Z5,Male,College,71960.0,Divorced,Star,3974.86,Standard,2013,5,,,24,132,39,40326,4064.2,3593,292,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True
529098,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,71960.0,Divorced,Star,3974.86,Standard,2017,10,,,24,83,25,23720,2416.08,1682,136,2017,2018,2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,True
265297,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,60519.0,Married,Star,3978.67,Standard,2018,7,,,24,38,3,7576,757.0,0,0,2017,2018,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True
567875,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,102457.0,Married,Star,3979.72,Standard,2017,5,,,24,52,16,21637,2161.0,0,0,2017,2018,2,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,True
688524,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,103862.0,Married,Star,3980.42,Standard,2013,3,,,24,92,27,25747,2601.04,3244,263,2017,2018,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,True
269070,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Master,93153.0,Married,Star,3985.32,Standard,2013,1,,,24,139,44,50258,5082.72,1300,105,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
387705,Canada,Quebec,Hull,J8Y 3Z5,Female,Master,93153.0,Married,Star,3985.32,Standard,2013,4,,,24,150,34,42302,4290.92,1626,131,2017,2018,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
923293,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,86793.0,Divorced,Star,3985.55,Standard,2016,6,,,24,136,40,42838,4293.0,850,69,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
283314,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,72127.0,Married,Star,3991.73,Standard,2013,4,2015.0,2.0,24,0,0,0,0.0,0,0,2017,2018,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
322102,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,71960.0,Married,Star,3992.58,Standard,2013,8,2014.0,4.0,24,0,0,0,0.0,0,0,2017,2018,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
789157,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,71960.0,Single,Star,3995.36,Standard,2018,9,,,24,12,0,3429,342.0,0,0,2017,2018,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True
654748,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,65721.0,Married,Star,3996.77,Standard,2017,4,2017.0,12.0,24,43,9,11898,1188.0,0,0,2017,2018,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,False
984713,Canada,Ontario,Sudbury,M5V 1G5,Female,College,71960.0,Single,Star,3997.48,Standard,2018,8,,,24,15,9,4416,441.0,556,45,2017,2018,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True
114835,Canada,Ontario,Toronto,M1R 4K3,Female,Master,101354.0,Divorced,Star,4001.52,Standard,2017,7,,,24,104,25,35750,3621.84,0,0,2017,2018,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True
328936,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,53118.0,Married,Star,4005.72,Standard,2015,3,,,24,151,53,38271,3836.16,906,73,2017,2018,2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
845864,Canada,British Columbia,Vancouver,V5R 1W3,Female,Doctor,115440.0,Married,Star,4013.85,Standard,2013,4,,,24,141,36,43991,4445.6,1376,112,2017,2018,2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
645265,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,73313.0,Married,Star,4013.95,Standard,2013,3,,,24,114,24,47484,4767.08,381,31,2017,2018,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True
223587,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,100167.0,Married,Star,4013.96,Standard,2017,8,,,24,97,14,31937,3224.32,554,45,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,True
158560,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2015,12,,,24,110,30,33336,3342.08,1743,141,2017,2018,2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,True
417584,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2014,5,,,24,122,22,34551,3513.92,607,49,2017,2018,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,True
566033,Canada,Ontario,Toronto,M2P 4F6,Male,College,71960.0,Married,Star,4015.21,Standard,2015,6,2016.0,7.0,24,0,0,0,0.0,0,0,2017,2018,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
472521,Canada,Alberta,Edmonton,T9G 1W3,Male,College,71960.0,Married,Aurora,6265.34,2018 Promotion,2018,3,,,24,143,39,36427,3941.0,389,32,2017,2018,2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True
425854,Canada,Ontario,Toronto,P1J 8T7,Female,High School or Below,39079.0,Married,Star,4016.13,Standard,2016,11,,,24,129,27,34278,3454.12,630,51,2017,2018,2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,True
